1,3D Cinema,-552,-911,35,12,0,0,6,15
2,Boat Hire,704,803,24,0,0,100,7,18
3,Bobsled Roller Coaster,240,-299,7,18,100,200,4,26
4,Bumper Cars,-174,-862,12,12,100,0,11,0
5,Car Ride,359,970,32,12,100,0,12,8
6,Chairlift,-201,-272,16,0,0,150,10,13
7,Ferris Wheel,-820,-586,35,0,0,150,9,10
8,Go Karts,-559,-212,12,12,100,0,8,11
9,Gravitron,-318,-553,6,12,100,0,4,20
10,Haunted House,133,-779,3,12,0,0,10,6
11,Hedge Maze,-572,-940,30,0,0,0,8,6
12,Inverted Roller Coaster,-276,-184,31,18,100,200,6,26
13,Log Flume,575,297,27,12,0,100,6,13
14,Merry-Go-Round,569,762,19,0,0,150,8,5
15,Mine Train Roller Coaster,505,164,8,18,100,200,5,28
16,Miniature Railroad,533,-358,41,0,0,0,8,14
17,Monorail,-911,-143,32,0,0,0,7,13
18,Motion Simulator,836,-126,6,12,0,0,7,18
19,Observation Tower,162,810,21,0,0,150,8,2
20,Reverse Whoa Belly Roller Coaster,955,-164,16,18,100,200,7,20
21,River Rapids,-209,-210,31,0,0,0,4,12
22,Scrambled Eggs,-636,400,11,12,100,0,7,14
23,Single-Rail Roller Coaster,-409,-378,36,18,100,200,7,20
24,Space Rings,251,924,23,12,100,100,11,9
25,Spiral Slide,321,-876,36,0,0,150,8,4
26,Stand-Up Steel Roller Coaster,-912,560,13,18,100,200,6,29
27,Steel Corkscrew Roller Coaster,440,-924,15,18,100,200,4,21
28,Steel Mini Roller Coaster,-103,785,35,18,100,200,5,24
29,Steel Roller Coaster,-237,548,4,18,100,200,7,28
30,Suspended Roller Coaster,282,591,44,18,100,200,5,21
31,Suspended Single-Rail Roller Coaster,531,-606,29,18,100,200,3,29
32,Swinging Inverter Ship,-389,127,26,12,100,150,7,14
33,Swinging Ship,836,443,20,12,100,150,4,17
34,Vertical Roller Coaster,-966,-512,21,18,100,200,3,27
35,Water Slide,303,-608,9,0,0,100,7,12
36,Whoa Belly,980,218,4,12,0,0,6,17
37,Wooden Crazy Rodent Roller Coaster,-732,-740,28,18,100,200,7,30
38,Wooden Roller Coaster,222,164,36,18,100,200,5,29
